cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name
36084,,20191001,01.7353,01.7196,Oakland-Hayward-Berkeley CA
36100,,20191001,00.8178,00.8178,Ocala FL
36140,,20191001,01.0956,01.0549,Ocean City NJ
36220,,20191001,00.9062,00.9062,Odessa TX
36260,,20191001,00.9031,00.9031,Ogden-Clearfield UT
36420,,20191001,00.8814,00.8814,Oklahoma City OK
36500,,20191001,01.1324,01.1170,Olympia-Tumwater WA
36540,,20191001,00.9219,00.9219,Omaha-Council Bluffs NE-IA
36740,,20191001,00.8733,00.8577,Orlando-Kissimmee-Sanford FL
36780,,20191001,00.9108,00.9108,Oshkosh-Neenah WI
36980,,20191001,00.8726,00.8726,Owensboro KY
37100,,20191001,01.4370,01.4370,Oxnard-Thousand Oaks-Ventura CA
37340,,20191001,00.9255,00.9255,Palm Bay-Melbourne-Titusville FL
37460,,20191001,00.7972,00.7659,Panama City FL
37620,,20191001,00.7179,00.7179,Parkersburg-Vienna WV
37860,,20191001,00.8327,00.8166,Pensacola-Ferry Pass-Brent FL
37900,,20191001,00.8623,00.8623,Peoria IL
37964,,20191001,01.0962,01.0962,Philadelphia PA
38060,,20191001,00.9835,00.9691,Phoenix-Mesa-Scottsdale AZ
38220,,20191001,00.8252,00.8252,Pine Bluff AR
38300,,20191001,00.8482,00.8277,Pittsburgh PA
38340,,20191001,01.1057,01.0660,Pittsfield MA
38540,,20191001,00.8817,00.8817,Pocatello ID
38660,,20191001,00.3731,00.3731,Ponce PR
38860,,20191001,01.0411,00.9831,Portland-South Portland ME
38900,,20191001,01.1708,01.1601,Portland-Vancouver-Hillsboro OR-WA
38940,,20191001,00.9087,00.8900,Port St. Lucie FL
39140,,20191001,00.9799,00.9641,Prescott AZ
39300,,20191001,01.0371,01.0371,Providence-Warwick RI-MA
39340,,20191001,00.9205,00.9205,Provo-Orem UT
39380,,20191001,00.8046,00.8046,Pueblo CO
39460,,20191001,00.8593,00.8593,Punta Gorda FL
39540,,20191001,00.9269,00.9269,Racine WI
39580,,20191001,00.9483,00.9096,Raleigh NC
39660,,20191001,00.8428,00.8428,Rapid City SD
39740,,20191001,01.0070,00.9754,Reading PA
39820,,20191001,01.3627,01.3627,Redding CA
39900,,20191001,00.9124,00.9124,Reno NV
40060,,20191001,00.9038,00.9038,Richmond VA
40140,,20191001,01.1822,01.1822,Riverside-San Bernardino-Ontario CA
40220,,20191001,00.8903,00.8659,Roanoke VA
40340,,20191001,01.0635,01.0341,Rochester MN
40380,,20191001,00.8437,00.8437,Rochester NY
40420,,20191001,00.9751,00.9526,Rockford IL
40484,,20191001,01.0129,01.0129,Rockingham County-Strafford County NH
40580,,20191001,00.8403,00.8403,Rocky Mount NC
40660,,20191001,00.8670,00.8670,Rome GA
40900,,20191001,01.6206,01.6206,Sacramento--Roseville--Arden-Arcade CA
40980,,20191001,00.8889,00.8889,Saginaw MI
41060,,20191001,00.9937,00.9937,St. Cloud MN
41100,,20191001,00.9458,00.9458,St. George UT
41140,,20191001,00.9883,00.9883,St. Joseph MO-KS
41180,,20191001,00.9260,00.9260,St. Louis MO-IL
41420,,20191001,01.0874,01.0874,Salem OR
41500,,20191001,01.7740,01.7740,Salinas CA
41540,,20191001,00.9219,00.9219,Salisbury MD-DE
41620,,20191001,00.9892,00.9644,Salt Lake City UT
41660,,20191001,00.8236,00.8236,San Angelo TX
41700,,20191001,00.8383,00.8383,San Antonio-New Braunfels TX
41740,,20191001,01.2231,01.2231,San Diego-Carlsbad CA
41884,,20191001,01.7835,01.7835,San Francisco-Redwood City-South San Francisco 
41900,,20191001,00.4277,00.4277,San Germ�n PR
41940,,20191001,01.8551,01.8551,San Jose-Sunnyvale-Santa Clara CA
41980,,20191001,00.4160,00.4160,San Juan-Carolina-Caguas PR
42020,,20191001,01.2663,01.2663,San Luis Obispo-Paso Robles-Arroyo Grande CA
42034,,20191001,01.7899,01.7899,San Rafael CA
42100,,20191001,01.8374,01.8374,Santa Cruz-Watsonville CA
42140,,20191001,01.0692,00.9198,Santa Fe NM
42200,,20191001,01.4137,01.3939,Santa Maria-Santa Barbara CA
42220,,20191001,01.6633,01.6633,Santa Rosa CA
42340,,20191001,00.7893,00.7893,Savannah GA
42540,,20191001,00.8417,00.8417,Scranton--Wilkes-Barre--Hazleton PA
42644,,20191001,01.1590,01.1450,Seattle-Bellevue-Everett WA
42680,,20191001,00.8148,00.8148,Sebastian-Vero Beach FL
42700,,20191001,00.7991,00.7991,Sebring FL
43100,,20191001,00.9368,00.9368,Sheboygan WI
43300,,20191001,00.8550,00.8550,Sherman-Denison TX
43340,,20191001,00.8046,00.8046,Shreveport-Bossier City LA
43420,,20191001,00.8389,00.8389,Sierra Vista-Douglas AZ
43524,,20191001,00.9639,00.9639,Silver Spring-Frederick-Rockville MD
43580,,20191001,00.8428,00.8428,Sioux City IA-NE-SD
43620,,20191001,00.7925,00.7925,Sioux Falls SD
43780,,20191001,00.9352,00.9352,South Bend-Mishawaka IN-MI
43900,,20191001,00.8473,00.8473,Spartanburg SC
44060,,20191001,01.0860,01.0544,Spokane-Spokane Valley WA
44100,,20191001,00.9350,00.9185,Springfield IL
44140,,20191001,01.0285,01.0285,Springfield MA
44180,,20191001,00.8067,00.8067,Springfield MO
44220,,20191001,00.8894,00.8894,Springfield OH
44300,,20191001,01.0203,00.9239,State College PA
44420,,20191001,00.8896,00.8896,Staunton-Waynesboro VA
44700,,20191001,01.4494,01.4494,Stockton-Lodi CA
44940,,20191001,00.7062,00.7062,Sumter SC
45060,,20191001,01.0110,00.9691,Syracuse NY
45104,,20191001,01.1708,01.1708,Tacoma-Lakewood WA
45220,,20191001,00.8225,00.7659,Tallahassee FL
45300,,20191001,00.8814,00.8814,Tampa-St. Petersburg-Clearwater FL
45460,,20191001,00.9130,00.8764,Terre Haute IN
45500,,20191001,00.8457,00.8457,Texarkana TX-AR
45540,,20191001,00.8264,00.8264,The Villages FL
45780,,20191001,00.9018,00.8792,Toledo OH
45820,,20191001,00.9112,00.9112,Topeka KS
45940,,20191001,01.0319,01.0319,Trenton NJ
46060,,20191001,00.8871,00.8871,Tucson AZ
46140,,20191001,00.8457,00.8457,Tulsa OK
46220,,20191001,00.8107,00.7638,Tuscaloosa AL
46300,,20191001,00.8798,00.8798,Twin Falls ID
46340,,20191001,00.8239,00.8239,Tyler TX
46520,,20191001,01.2412,01.2412,Urban Honolulu HI
46540,,20191001,00.9257,00.9257,Utica-Rome NY
46660,,20191001,00.7109,00.7109,Valdosta GA
46700,,20191001,01.8286,01.8286,Vallejo-Fairfield CA
47020,,20191001,00.8598,00.8598,Victoria TX
47220,,20191001,01.1328,01.1328,Vineland-Bridgeton NJ
47260,,20191001,00.8814,00.8814,Virginia Beach-Norfolk-Newport News VA-NC
47300,,20191001,00.9435,00.9435,Visalia-Porterville CA
47380,,20191001,00.9162,00.9162,Waco TX
47460,,20191001,01.0587,01.0587,Walla Walla WA
47580,,20191001,00.7288,00.7288,Warner Robins GA
47664,,20191001,00.9724,00.9505,Warren-Troy-Farmington Hills MI
47894,,20191001,01.0079,01.0079,Washington-Arlington-Alexandria DC-VA-MD-WV
47940,,20191001,00.8280,00.8280,Waterloo-Cedar Falls IA
48060,,20191001,00.9357,00.9205,Watertown-Fort Drum NY
48140,,20191001,00.8964,00.8964,Wausau WI
48260,,20191001,00.7945,00.7945,Weirton-Steubenville WV-OH
48300,,20191001,00.9490,00.9490,Wenatchee WA
48424,,20191001,00.8909,00.8909,West Palm Beach-Boca Raton-Delray Beach FL
48540,,20191001,00.6633,00.6633,Wheeling WV-OH
48620,,20191001,00.8437,00.8437,Wichita KS
48660,,20191001,00.9212,00.9212,Wichita Falls TX
48700,,20191001,00.8733,00.8733,Williamsport PA
48864,,20191001,01.1315,01.0610,Wilmington DE-MD-NJ
48900,,20191001,00.9076,00.8832,Wilmington NC
49020,,20191001,00.8966,00.8966,Winchester VA-WV
49180,,20191001,00.9303,00.9303,Winston-Salem NC
49340,,20191001,01.1672,01.1567,Worcester MA-CT
49420,,20191001,01.0034,01.0034,Yakima WA
49620,,20191001,00.9189,00.9189,York-Hanover PA
49660,,20191001,00.7991,00.7991,Youngstown-Warren-Boardman OH-PA
49700,,20191001,01.2656,01.2656,Yuba City CA
49740,,20191001,00.9664,00.9664,Yuma AZ
