apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
09408,K,20250101,000642.15,00128.43,00128.43
09409,K,20250101,000534.91,00106.99,00106.99
09410,K,20250101,000372.17,00074.44,00074.44
09411,K,20250101,000038.65,00007.73,00007.73
09414,K,20250101,000022.90,00004.59,00004.59
09415,K,20250101,000005.36,00001.08,00001.08
09416,K,20250101,000186.31,00037.27,00037.27
09418,K,20250101,000048.21,00009.65,00009.65
09419,K,20250101,000140.62,00028.13,00028.13
09421,K,20250101,000005.71,00001.15,00001.15
09426,K,20250101,000002.28,00000.46,00000.46
09427,K,20250101,000042.50,00008.51,00008.51
09428,K,20250101,000033.91,00006.79,00006.79
09429,K,20250101,000029.86,00005.98,00005.98
09430,K,20250101,000332.44,00066.49,00066.49
09431,K,20250101,000236.40,00047.29,00047.29
09432,K,20250101,000020.67,00004.14,00004.14
09433,K,20250101,000077.75,00015.56,00015.56
09434,K,20250101,000017.29,00003.46,00003.46
09436,K,20250101,000031.14,00006.23,00006.23
09437,K,20250101,000052.79,00010.56,00010.56
09438,K,20250101,000005.98,00001.20,00001.20
09439,G,20250101,000079.08,00015.82,00015.82
09440,G,20250101,000000.77,00000.16,00000.16
09441,K,20250101,000001.10,00000.23,00000.23
09442,G,20250101,000050.83,00010.17,00010.17
09443,G,20250101,001026.05,00205.21,00205.21
09444,G,20250101,000018.13,00003.63,00003.63
09445,K,20250101,000034.72,00006.95,00006.95
09446,G,20250101,000214.76,00042.96,00042.96
09447,G,20250101,000000.47,00000.10,00000.10
09448,K,20250101,000400.24,00080.05,00080.05
09449,K,20250101,000152.18,00030.44,00030.44
09450,K,20250101,000495.38,00099.08,00099.08
09451,K,20250101,000001.68,00000.34,00000.34
09452,K,20250101,000008.23,00001.65,00001.65
09453,K,20250101,000031.75,00006.35,00006.35
09454,K,20250101,000479.84,00095.97,00095.97
09455,K,20250101,000157.07,00031.42,00031.42
09456,K,20250101,000000.98,00000.20,00000.20
09458,K,20250101,001273.76,00254.76,00254.76
09459,K,20250101,000874.40,00174.88,00174.88
09460,K,20250101,000018.82,00003.77,00003.77
09461,K,20250101,002062.94,00412.59,00412.59
09463,K,20250101,000001.77,00000.36,00000.36
09466,K,20250101,000167.30,00033.46,00033.46
09467,K,20250101,000036.94,00007.39,00007.39
09468,K,20250101,000004.57,00000.92,00000.92
09469,K,20250101,000017.75,00003.55,00003.55
09470,K,20250101,000003.23,00000.65,00000.65
09471,K,20250101,000017.45,00003.49,00003.49
09472,K,20250101,000070.36,00014.08,00014.08
09473,K,20250101,000030.44,00006.09,00006.09
09474,K,20250101,000064.77,00012.96,00012.96
09475,K,20250101,000005.73,00001.15,00001.15
09476,K,20250101,000065.12,00013.03,00013.03
09477,K,20250101,000007.58,00001.52,00001.52
09478,K,20250101,000539.42,00107.89,00107.89
09480,K,20250101,000362.82,00072.57,00072.57
09481,K,20250101,000010.31,00002.07,00002.07
09482,K,20250101,000022.83,00004.57,00004.57
09483,K,20250101,000086.24,00017.25,00017.25
09487,K,20250101,000012.97,00002.60,00002.60
09489,K,20250101,001231.90,00246.39,00246.39
09490,K,20250101,000039.86,00007.98,00007.98
09491,K,20250101,000095.18,00019.04,00019.04
09492,K,20250101,000081.82,00016.37,00016.37
09493,K,20250101,000022.14,00004.43,00004.43
09494,K,20250101,000059.80,00011.96,00011.96
09495,K,20250101,000229.67,00045.94,00045.94
09496,G,20250101,000034.25,00006.85,00006.85
09500,R,20250101,000135.78,00027.16,00027.16
09501,R,20250101,000487.10,00097.42,00097.42
09502,R,20250101,000587.65,00117.53,00117.53
09503,R,20250101,000048.93,00009.79,00009.79
09504,R,20250101,000653.74,00130.75,00130.75
09505,R,20250101,000149.22,00029.85,00029.85
09507,R,20250101,000397.13,00079.43,00079.43
09508,R,20250101,000084.29,00016.86,00016.86
09509,R,20250101,000062.31,00012.47,00012.47
09510,R,20250101,000225.12,00045.03,00045.03
09511,R,20250101,000063.57,00012.72,00012.72
09512,R,20250101,000182.00,00036.40,00036.40
09513,R,20250101,000071.09,00014.22,00014.22
09514,R,20250101,000008.07,00001.62,00001.62
09515,R,20250101,000075.96,00015.20,00015.20
09516,R,20250101,000557.32,00111.47,00111.47
09517,R,20250101,000144.32,00028.87,00028.87
09518,R,20250101,000396.87,00079.38,00079.38
09519,R,20250101,000073.72,00014.75,00014.75
09520,R,20250101,000141.80,00028.36,00028.36
09521,R,20250101,000205.39,00041.08,00041.08
09522,R,20250101,000255.80,00051.16,00051.16
09523,R,20250101,000147.30,00029.46,00029.46
09524,R,20250101,000172.20,00034.44,00034.44
09525,R,20250101,000777.49,00155.50,00155.50
09526,R,20250101,000125.77,00025.16,00025.16
09527,R,20250101,000242.44,00048.49,00048.49
09528,R,20250101,000227.25,00045.45,00045.45
09529,R,20250101,000084.17,00016.84,00016.84
09530,R,20250101,000675.66,00135.14,00135.14
09531,R,20250101,000459.23,00091.85,00091.85
09532,R,20250101,000485.37,00097.08,00097.08
09533,R,20250101,000222.86,00044.58,00044.58
09534,R,20250101,000056.11,00011.23,00011.23
09535,R,20250101,000292.53,00058.51,00058.51
09536,R,20250101,000587.28,00117.46,00117.46
09537,R,20250101,000048.93,00009.79,00009.79
09538,R,20250101,000135.15,00027.03,00027.03
09539,R,20250101,000313.77,00062.76,00062.76
09540,R,20250101,000425.62,00085.13,00085.13
09541,R,20250101,000487.10,00097.42,00097.42
