cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name,imputedFloorWageIndex,ruralFloorWageIndex,size
41140,20211001,0.9321,0.0000,"St. Joseph, MO-KS",,,
41180,20211001,0.9583,0.0000,"St. Louis, MO-IL",,,
41420,20211001,1.1477,0.0000,"Salem, OR",,,
41500,20211001,1.7999,0.0000,"Salinas, CA",,,
41540,20211001,0.9220,0.0000,"Salisbury, MD-DE",,,
41620,20211001,0.9757,0.0000,"Salt Lake City, UT",,,
41660,20211001,0.8035,0.0000,"San Angelo, TX",,,
41700,20211001,0.8461,0.0000,"San Antonio-New Braunfels, TX",,,
41740,20211001,1.2805,0.0000,"San Diego-Carlsbad, CA",,,
41884,20211001,1.8448,0.0000,"San Francisco-Redwood City-South San Francisco, CA",,,
41900,20211001,0.4858,0.0000,"San German, PR",,,
41940,20211001,1.9024,0.0000,"San Jose-Sunnyvale-Santa Clara, CA",,,
41980,20211001,0.4541,0.0000,"San Juan-Carolina-Caguas, PR",,,
42020,20211001,1.3704,0.0000,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",,,
42034,20211001,1.8302,0.0000,"San Rafael, CA",,,
42100,20211001,1.8719,0.0000,"Santa Cruz-Watsonville, CA",,,
42140,20211001,1.0015,0.0000,"Santa Fe, NM",,,
42200,20211001,1.4690,0.0000,"Santa Maria-Santa Barbara, CA",,,
42220,20211001,1.7352,0.0000,"Santa Rosa, CA",,,
42340,20211001,0.8334,0.0000,"Savannah, GA",,,
42540,20211001,0.8523,0.0000,"Scranton--Wilkes-Barre--Hazleton, PA",,,
42644,20211001,1.1851,0.0000,"Seattle-Bellevue-Everett, WA",,,
42680,20211001,0.8000,0.0000,"Sebastian-Vero Beach, FL",,,
42700,20211001,0.8224,0.0000,"Sebring, FL",,,
43100,20211001,0.9394,0.0000,"Sheboygan, WI",,,
43300,20211001,0.8461,0.0000,"Sherman-Denison, TX",,,
43340,20211001,0.8093,0.0000,"Shreveport-Bossier City, LA",,,
43420,20211001,0.8000,0.0000,"Sierra Vista-Douglas, AZ",,,
43580,20211001,0.8399,0.0000,"Sioux City, IA-NE-SD",,,
43620,20211001,0.8072,0.0000,"Sioux Falls, SD",,,
43780,20211001,0.9905,0.0000,"South Bend-Mishawaka, IN-MI",,,
43900,20211001,0.8736,0.0000,"Spartanburg, SC",,,
44060,20211001,1.0976,0.0000,"Spokane-Spokane Valley, WA",,,
44100,20211001,0.9136,0.0000,"Springfield, IL",,,
44140,20211001,0.9450,0.0000,"Springfield, MA",,,
44180,20211001,0.8000,0.0000,"Springfield, MO",,,
44220,20211001,0.8667,0.0000,"Springfield, OH",,,
44300,20211001,1.0643,0.0000,"State College, PA",,,
44420,20211001,0.9641,0.0000,"Staunton-Waynesboro, VA",,,
44700,20211001,1.5316,0.0000,"Stockton-Lodi, CA",,,
44940,20211001,0.8000,0.0000,"Sumter, SC",,,
45060,20211001,1.0181,0.0000,"Syracuse, NY",,,
45104,20211001,1.1563,0.0000,"Tacoma-Lakewood, WA",,,
45220,20211001,0.8222,0.0000,"Tallahassee, FL",,,
45300,20211001,0.8826,0.0000,"Tampa-St. Petersburg-Clearwater, FL",,,
45460,20211001,0.8779,0.0000,"Terre Haute, IN",,,
45500,20211001,0.8381,0.0000,"Texarkana, TX-AR",,,
45540,20211001,0.8000,0.0000,"The Villages, FL",,,
45780,20211001,0.8446,0.0000,"Toledo, OH",,,
45820,20211001,0.8257,0.0000,"Topeka, KS",,,
45940,20211001,1.0198,0.0000,"Trenton, NJ",,,
46060,20211001,0.8411,0.0000,"Tucson, AZ",,,
46140,20211001,0.8338,0.0000,"Tulsa, OK",,,
46220,20211001,0.8000,0.0000,"Tuscaloosa, AL",,,
46300,20211001,0.8738,0.0000,"Twin Falls, ID",,,
46340,20211001,0.8416,0.0000,"Tyler, TX",,,
46520,20211001,1.2831,0.0000,"Urban Honolulu, HI",,,
46540,20211001,0.8947,0.0000,"Utica-Rome, NY",,,
46660,20211001,0.8000,0.0000,"Valdosta, GA",,,
46700,20211001,1.7960,0.0000,"Vallejo-Fairfield, CA",,,
47020,20211001,0.8564,0.0000,"Victoria, TX",,,
47220,20211001,1.0604,0.0000,"Vineland-Bridgeton, NJ",,,
47260,20211001,0.8908,0.0000,"Virginia Beach-Norfolk-Newport News, VA-NC",,,
47300,20211001,0.9557,0.0000,"Visalia-Porterville, CA",,,
47380,20211001,0.9153,0.0000,"Waco, TX",,,
47460,20211001,1.0600,0.0000,"Walla Walla, WA",,,
47580,20211001,0.8000,0.0000,"Warner Robins, GA",,,
47664,20211001,0.9101,0.0000,"Warren-Troy-Farmington Hills, MI",,,
47894,20211001,1.0202,0.0000,"Washington-Arlington-Alexandria, DC-VA-MD-WV",,,
47940,20211001,0.8000,0.0000,"Waterloo-Cedar Falls, IA",,,
48060,20211001,0.9374,0.0000,"Watertown-Fort Drum, NY",,,
48140,20211001,0.8919,0.0000,"Wausau-Weston, WI",,,
48260,20211001,0.8000,0.0000,"Weirton-Steubenville, WV-OH",,,
48300,20211001,0.9495,0.0000,"Wenatchee, WA",,,
48424,20211001,0.8996,0.0000,"West Palm Beach-Boca Raton-Delray Beach, FL",,,
48540,20211001,0.7883,0.0000,"Wheeling, WV-OH",,,
48620,20211001,0.8437,0.0000,"Wichita, KS",,,
48660,20211001,0.8878,0.0000,"Wichita Falls, TX",,,
48700,20211001,0.8906,0.0000,"Williamsport, PA",,,
48864,20211001,1.0939,0.0000,"Wilmington, DE-MD-NJ",,,
48900,20211001,0.8859,0.0000,"Wilmington, NC",,,
49020,20211001,0.8979,0.0000,"Winchester, VA-WV",,,
49180,20211001,0.9190,0.0000,"Winston-Salem, NC",,,
49340,20211001,1.0905,0.0000,"Worcester, MA-CT",,,
49420,20211001,0.9192,0.0000,"Yakima, WA",,,
49500,20211001,0.3976,0.0000,"Yauco, PR",,,
49620,20211001,0.9497,0.0000,"York-Hanover, PA",,,
49660,20211001,0.8000,0.0000,"Youngstown-Warren-Boardman, OH-PA",,,
49700,20211001,1.3095,0.0000,"Yuba City, CA",,,
