diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
302,2025-10-01,1.1966,2.9,,4.0,,,ATHEROSCLEROSIS WITH MCC
303,2025-10-01,0.6732,1.8,,2.3,,,ATHEROSCLEROSIS WITHOUT MC
304,2025-10-01,1.1900,3.1,,4.1,,,HYPERTENSION WITH MCC
305,2025-10-01,0.7551,2.1,,2.6,,,HYPERTENSION WITHOUT MCC
306,2025-10-01,1.5758,3.8,,5.2,,,CARDIAC CONGENITAL AND VAL
307,2025-10-01,0.9132,2.2,,2.8,,,CARDIAC CONGENITAL AND VAL
308,2025-10-01,1.2040,3.4,,4.5,,,CARDIAC ARRHYTHMIA AND CON
309,2025-10-01,0.7357,2.3,,2.8,,,CARDIAC ARRHYTHMIA AND CON
310,2025-10-01,0.5661,1.8,,2.1,,,CARDIAC ARRHYTHMIA AND CON
311,2025-10-01,0.7019,1.9,,2.4,,,ANGINA PECTORIS
312,2025-10-01,0.8716,2.4,,3.1,,,SYNCOPE AND COLLAPSE
313,2025-10-01,0.7200,1.7,,2.1,,,CHEST PAIN
314,2025-10-01,2.0852,4.8,,6.7,Y,,OTHER CIRCULATORY SYSTEM D
315,2025-10-01,0.9633,2.6,,3.4,Y,,OTHER CIRCULATORY SYSTEM D
316,2025-10-01,0.6821,1.8,,2.2,Y,,OTHER CIRCULATORY SYSTEM D
317,2025-10-01,6.6865,5.1,,7.1,,,CONCOMITANT LEFT ATRIAL AP
318,2025-10-01,2.4222,2.7,,3.7,,,PERCUTANEOUS CORONARY ATHE
319,2025-10-01,4.4629,7.4,,10.2,,,OTHER ENDOVASCULAR CARDIAC
320,2025-10-01,2.4053,2.1,,3.0,,,OTHER ENDOVASCULAR CARDIAC
321,2025-10-01,2.7208,3.7,,4.9,,,PERCUTANEOUS CARDIOVASCULA
322,2025-10-01,1.7630,2.0,,2.3,,,PERCUTANEOUS CARDIOVASCULA
323,2025-10-01,4.3274,4.5,,6.1,,,CORONARY INTRAVASCULAR LIT
324,2025-10-01,3.1510,2.3,,2.9,,,CORONARY INTRAVASCULAR LIT
325,2025-10-01,3.2104,2.8,,3.8,,,CORONARY INTRAVASCULAR LIT
326,2025-10-01,4.9874,8.9,,12.3,Y,,"STOMACH, ESOPHAGEAL AND DU"
327,2025-10-01,2.4442,3.9,,5.4,Y,,"STOMACH, ESOPHAGEAL AND DU"
328,2025-10-01,1.6023,2.0,,2.5,Y,,"STOMACH, ESOPHAGEAL AND DU"
329,2025-10-01,4.5965,9.4,,12.2,Y,,MAJOR SMALL AND LARGE BOWE
330,2025-10-01,2.3972,4.8,,6.1,Y,,MAJOR SMALL AND LARGE BOWE
331,2025-10-01,1.6829,2.7,,3.2,Y,,MAJOR SMALL AND LARGE BOWE
