diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
769,0.6374,19.3
770,0.6374,19.3
776,0.6374,19.3
779,0.6374,19.3
783,1.0152,25.2
784,1.0152,25.2
785,1.0152,25.2
786,1.0152,25.2
787,1.0152,25.2
788,1.0152,25.2
789,0.6374,19.3
790,0.6374,19.3
791,0.6374,19.3
792,0.6374,19.3
793,0.6374,19.3
794,0.6374,19.3
795,0.6374,19.3
796,0.6374,19.3
797,0.6374,19.3
798,0.6374,19.3
799,1.6086,35.2
800,0.8548,23.6
801,0.8548,23.6
802,1.0152,25.2
803,1.0152,25.2
804,1.0152,25.2
805,1.0152,25.2
806,1.0152,25.2
807,1.0152,25.2
808,1.0152,25.2
809,0.5193,16.9
810,0.5193,16.9
811,0.8196,23.5
812,0.5193,16.9
813,0.6374,19.3
814,0.8548,23.6
815,0.8548,23.6
816,0.8548,23.6
817,0.6374,19.3
818,0.6374,19.3
819,0.6374,19.3
820,1.0152,25.2
821,1.0152,25.2
822,1.0152,25.2
823,1.0152,25.2
